replicate,Rep1,Rep1,Rep1,Rep1,Rep2,Rep2,Rep2,Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2
measurement,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter
ACLY,P1P2,0.461719194,0.010715731,10,P1P2,0.784889575,-0.021137387,10,P1P2,0.712682975,0.000933891,10
ACMSD,P1P2,0.953718476,-0.010790333,10,P1P2,0.184620003,-0.015374857,10,P1P2,0.407283612,-0.015030796,10
ACN9,P1P2,0.019847231,0.028576831,10,P1P2,0.492381341,-0.009340239,10,P1P2,0.051466039,0.01859977,10
ACO1,P1P2,0.057684871,0.041358835,10,P1P2,0.694697927,0.007687528,10,P1P2,0.220778986,0.023809768,10
ACO2,P1P2,0.021906443,-0.036258456,10,P1P2,0.126026572,-0.01162348,10,P1P2,0.016704457,-0.016700445,10
ACOT1,P1P2,0.314210765,0.006431303,10,P1P2,0.593656556,-0.00953702,10,P1P2,0.878597012,-0.002999404,10
ACOT11,P1,0.424120388,-0.059152588,10,P1,0.059971471,-0.086803107,10,P1,0.132947354,-0.079637662,10
ACOT12,P1P2,0.451165191,-0.014682128,10,P1P2,0.215785726,-0.014547498,10,P1P2,0.212440121,-0.023497262,10
ACOT13,P1P2,0.173185376,0.005138002,8,P1P2,0.34722502,0.02841792,8,P1P2,0.041976595,0.020978133,8
ACOT2,P1P2,0.358549412,0.012367139,10,P1P2,0.196137207,-0.020371833,10,P1P2,0.868960132,-0.011143592,10
ACOT4,P1P2,0.852868794,-0.046609071,10,P1P2,0.843224443,-0.069181525,10,P1P2,0.736485146,-0.05645762,10
ACOT6,P1P2,0.014035482,0.044122466,10,P1P2,0.961609523,-0.009949689,10,P1P2,0.175162093,0.032228366,10
ACOT7,P1P2,0.055460732,-0.052576347,10,P1P2,0.219639475,-0.026688948,10,P1P2,0.032466657,-0.033996409,10
ACOT8,P1P2,0.148340246,-0.030039722,10,P1P2,0.256862892,-0.032515738,10,P1P2,0.061671372,-0.033436519,10
ACOT9,P1P2,0.691185646,0.018410885,10,P1P2,0.535690864,-0.000655074,10,P1P2,0.260895256,-0.002810218,10
ACOX1,P1P2,0.919938117,-0.008874317,10,P1P2,0.096512516,0.026255549,10,P1P2,0.342196949,0.007972093,10
ACOX2,P2,0.418492736,-0.010331695,10,P2,0.190757785,-0.005008044,10,P2,0.198780278,-0.018229552,10
ACOX3,P1,0.022134099,-0.032857719,10,P1,0.199988806,-0.007196131,10,P1,0.009388063,-0.019363919,10
ACOXL,P1P2,0.050570707,-0.041442534,10,P1P2,0.256557967,0.010444361,10,P1P2,0.431600628,-0.021178469,10
ACP1,P1P2,0.029613281,-0.111166963,9,P1P2,0.026085839,-0.076725634,9,P1P2,0.014364266,-0.091417351,9
ACP2,P1P2,0.622864661,-0.001571167,10,P1P2,0.12570292,0.025302121,10,P1P2,0.542458817,0.012840764,10
ACP5,P2,0.042577203,-0.037533671,10,P1,0.182511453,-0.063586799,10,P1,0.274598443,-0.08181627,10
ACP6,P1P2,0.716740406,0.013555405,9,P1P2,0.577556607,-0.022406464,10,P1P2,0.935765869,0.006416869,9
ACPL2,P1P2,0.157789441,-0.008459073,10,P1P2,0.470110392,-0.032469066,10,P1P2,0.094337675,-0.020304981,10
ACPP,P1P2,0.754260741,-0.018443107,10,P1P2,0.89357173,-0.000278071,10,P1P2,0.819283416,-0.006662393,10
ACPT,ENST00000270593.1,0.838747266,0.016937903,10,ENST00000270593.1,0.36380121,-0.010620518,10,ENST00000270593.1,0.949262564,-0.007612388,10
ACR,P1P2,0.102150821,-0.001279269,10,P1P2,0.958828312,0.012871455,10,P1P2,0.408933958,-0.00540543,10
ACRBP,P1P2,0.424964116,0.027051156,10,P1P2,0.339592411,0.00591457,10,P1P2,0.219464207,0.022428652,10
ACRC,P1P2,0.80885988,0.012804526,10,P1P2,0.102670041,-0.022929174,10,P1P2,0.554296503,-0.00919707,10
ACRV1,P1P2,0.673893239,0.015347617,10,P1P2,0.100242648,-0.006858296,10,P1P2,0.519545531,0.005161941,10
ACSBG1,P1P2,0.66087735,0.007775519,10,P1P2,0.591645425,-0.018007056,10,P1P2,0.600438653,0.005358254,10
ACSBG2,P1P2,0.825810113,0.018667904,10,P1P2,0.369979267,0.010031131,10,P1P2,0.72422324,0.016736898,10
ACSF2,P1P2,0.696986323,0.011846199,10,P1P2,0.387142689,-0.018919088,10,P1P2,0.666987397,-0.007945364,10
ACSF3,P1P2,0.477231401,0.018629381,9,P1P2,0.982876435,0.013307175,9,P1P2,0.751944133,0.01438737,9
ACSL1,P1P2,0.686900483,-0.013515371,10,P1P2,0.45945182,0.007118178,10,P1P2,0.368412355,-0.010441518,10
ACSL3,P1P2,0.353621605,-0.013632734,10,P1P2,0.354051423,-0.012733797,10,P1P2,0.125811653,-0.005382165,10
ACSL4,P1P2,0.409927533,-0.031073596,10,P1P2,0.004701381,-0.050021016,10,P1P2,0.017572236,-0.044976844,10
ACSL5,P2,0.319697301,0.020085741,10,P2,0.175967681,-0.012040737,10,P1,0.605309471,0.00370044,10
ACSL6,P2,0.325103087,0.009579798,10,P2,0.509775491,-0.014259125,10,P2,0.748152363,-0.007829493,10
ACSM1,P1P2,0.453002227,0.009571938,10,P1P2,0.222217574,-0.024595634,10,P1P2,0.783267931,-0.005661737,10
ACSM2A,P1P2,0.819472071,0.004198598,10,P1P2,0.983641184,-0.012989563,10,P1P2,0.817925416,0.000322749,10
ACSM2B,P1P2,0.841931633,-0.01643087,10,P1P2,0.360430944,-0.025216996,10,P1P2,0.745285132,0.000322749,10
ACSM3,P1P2,0.691292903,-0.008001045,10,P1P2,0.470646882,-0.019525462,10,P1P2,0.37668743,-0.008259374,10
ACSM4,ENST00000399422.4,0.313651565,-0.066909418,10,ENST00000399422.4,0.574415666,0.005453192,9,ENST00000399422.4,0.616439501,-0.010509734,9
ACSM5,P1P2,0.563917162,0.013235465,10,P1P2,0.598092021,-0.018947766,10,P1P2,0.638223391,-0.011965734,10
